,,,,,,,y,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6237170,2280,1694915019,5,43,0,1558.59,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,-0.010999185,0.043996742,-0.034997408,-0.093,-0.47,9.817,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.59,125301,1,0,0,0,0,0,0,0,0.001,0,0.001
6237180,2280,1694915019,5,43,0,1558.6,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,-0.018998593,-0.094992965,-0.026998,-0.083,-0.47,9.792,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.6,125302,1,0,0,0,0,0,0,0,0.002,0,0.002
6237190,2280,1694915019,5,43,0,1558.61,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,0.026998,-0.017998667,-0.065995112,-0.085,-0.47,9.793,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.61,125303,1,0,0,0,0,0,0,0,0.002,0,0.002
6237200,2280,1694915019,5,43,0,1558.62,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,0.029997778,-0.029997778,-0.022998297,-0.09,-0.476,9.795,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.62,125304,1,0,0,0,0,0,0,0,0.002,0,0.002
6237210,2280,1694915019,5,43,0,1558.63,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,-0.03199763,0.120991039,0.123990817,-0.086,-0.462,9.803,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.63,125305,1,0,0,0,0,0,0,0,0.002,0,0.002
6237220,2280,1694915019,5,43,0,1558.64,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,0.035997334,-0.108991928,-0.017998667,-0.088,-0.468,9.788,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.64,125306,1,0,0,0,0,0,0,0,0.002,0,0.002
6237230,2280,1694915019,5,43,0,1558.65,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,0.024998149,0.007999408,0.033997482,-0.09,-0.476,9.789,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.65,125307,1,0,0,0,0,0,0,0,0.002,0,0.002
6237240,2280,1694915019,5,43,0,1558.66,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,-0.00499963,0.035997334,-0.054995927,-0.082,-0.472,9.791,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.66,125308,1,0,0,0,0,0,0,0,0.002,0,0.002
6237250,2280,1694915019,5,43,0,1558.67,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,0.064995186,-0.017998667,-0.026998,-0.088,-0.465,9.794,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.67,125309,1,0,0,0,0,0,0,0,0.002,0,0.002
6237260,2280,1694915019,5,43,0,1558.68,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,0.039997038,0.077994224,-0.025998075,-0.088,-0.472,9.797,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.68,125310,1,0,0,0,0,0,0,0,0.002,0,0.002
6237270,2280,1694915019,5,43,0,1558.69,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.005,0,0,0,-0.011999111,-0.014998889,0.019998519,-0.09,-0.471,9.805,0,0,0,36,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.69,125311,1,0,0,0,0,0,0,0,0.002,0,0.002
6237280,2280,1694915019,5,43,0,1558.7,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,-0.011999111,-0.033997482,0.008999333,-0.083,-0.467,9.781,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.7,125312,1,0,0,0,0,0,0,0,0.002,0,0.002
6237290,2280,1694915019,5,43,0,1558.71,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,-0.001999852,-0.014998889,0.084993705,-0.089,-0.472,9.801,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.71,125313,1,0,0,0,0,0,0,0,0.002,0,0.002
6237300,2280,1694915019,5,43,0,1558.72,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,0.013998963,0.080994001,-0.00499963,-0.091,-0.476,9.791,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.72,125314,1,0,0,0,0,0,0,0,0.002,0,0.002
6237310,2280,1694915019,5,43,0,1558.73,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,-0.064995186,-0.028997852,-0.038997112,-0.086,-0.466,9.787,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.73,125315,1,0,0,0,0,0,0,0,0.002,0,0.002
6237320,2280,1694915019,5,43,0,1558.74,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,0.029997778,0.096992817,-0.010999185,-0.086,-0.468,9.78,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.74,125316,1,0,0,0,0,0,0,0,0.002,0,0.002
6237330,2280,1694915019,5,43,0,1558.75,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,0.010999185,0.018998593,0.027997926,-0.087,-0.477,9.801,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.75,125317,1,0,0,0,0,0,0,0,0.002,0,0.002
6237340,2280,1694915019,5,43,0,1558.76,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,-0.042996816,0.082993853,0.021998371,-0.084,-0.471,9.801,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.76,125318,1,0,0,0,0,0,0,0,0.002,0,0.002
6237350,2280,1694915019,5,43,0,1558.77,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.002,0,-0.004,0,0,0,-0.065995112,0.080994001,0.018998593,-0.079,-0.474,9.785,0,0,0,34,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.77,125319,1,0,0,0,0,0,0,0,0.002,0,0.002
