,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,new_longitude,new_latitude
2909,283734600,2272,1690354116.6,5,27,1,0.0,29.58006754557292,106.46740397135416,232.82,-12.495,-13.961,0.015,2.682,-0.073,222.006,-0.228983041190271,-2.429820044071421,0.057995704755613,-0.028,0.243,9.563,50,50,81,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010098,0.021131,0.913325,-0.406557,18.59375,18.59375,18.59375,18.578125,1.0067,1.0067,3222.6,298278,1,0,0,0,0,0,0,0,18.735916,18.589844,0.146072,106.46346094939169,29.58268010186316
2910,283734610,2272,1690354116.61,5,27,1,0.0,29.58006754557292,106.4674037000868,232.82,-12.495,-13.961,0.015,2.687,-0.093,222.006,0.439967415387416,-2.070846630153051,0.068994890140298,-0.004,0.245,9.561,50,50,81,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010277,0.021091,0.913325,-0.406555,18.546875,18.546875,18.546875,18.609375,1.0067,1.0067,3222.61,298279,1,0,0,0,0,0,0,0,18.735916,18.5625,0.173416,106.46346067743853,29.582680101163636
2911,283734620,2272,1690354116.62,5,27,1,0.0,29.58006727430556,106.46740342881944,232.82,-12.495,-13.961,0.015,2.69,-0.113,222.006,0.364972969582743,-1.97085403574682,0.102992372238417,0.121,0.409,9.985,50,50,81,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010445,0.021051,0.913326,-0.406551,18.546875,18.546875,18.546875,18.609375,1.0067,1.0067,3222.62,298280,1,0,0,0,0,0,0,0,18.735916,18.5625,0.173416,106.46346040550193,29.582679829286292
2912,283734630,2272,1690354116.63,5,27,1,0.0,29.58006320529514,106.46739908854165,232.819,-12.495,-13.961,0.015,2.688,-0.13,222.007,-0.244981856295268,-1.708873438402494,0.145989187833096,0.197,0.518,10.75,50,50,81,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010573,0.020971,0.91333,-0.406542,18.5625,18.546875,18.5625,18.625,1.0067,1.0067,3222.63,298281,1,0,0,0,0,0,0,0,18.735916,18.574219,0.161697,106.46345605450001,29.58267575042685
2913,283734640,2272,1690354116.64,5,27,1,0.0,29.58006320529514,106.46739827473958,232.819,-12.495,-13.961,0.015,2.685,-0.129,222.007,-0.305977338883069,0.058995630699675,0.065995112308111,0.158,0.614,10.306,50,50,81,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010554,0.02095,0.913333,-0.406538,18.5625,18.546875,18.5625,18.625,1.0067,1.0067,3222.64,298282,1,0,0,0,0,0,0,0,18.735916,18.574219,0.161697,106.46345523864068,29.582675748328384
2914,283734650,2272,1690354116.65,5,27,1,0.0,29.58006320529514,106.46739908854165,232.819,-12.495,-13.961,0.015,2.681,-0.127,222.008,-0.406969859233363,0.219983707693707,0.045996593426865,-0.073,0.503,9.633,50,50,81,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010522,0.020926,0.913335,-0.406534,18.5625,18.546875,18.5625,18.625,1.0067,1.0067,3222.65,298283,1,0,0,0,0,0,0,0,18.735916,18.574219,0.161697,106.46345605450001,29.58267575042685
2915,283734660,2272,1690354116.66,5,27,1,0.0,29.58006266276041,106.46739827473958,232.819,-12.495,-13.961,0.015,2.676,-0.135,222.008,-0.478964527205849,-1.007925351614813,0.097992742518105,0.179,0.41,10.129,50,50,80,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010572,0.020855,0.913338,-0.406531,18.578125,18.546875,18.578125,18.609375,1.0067,1.0067,3222.66,298284,1,0,0,0,0,0,0,0,18.735916,18.578125,0.157791,106.46345523867377,29.582675205972738
2916,283734670,2272,1690354116.67,5,27,1,0.0,29.58005777994792,106.4673939344618,232.818,-12.502,-13.961,0.079,2.679,-0.141,222.009,0.335975117204936,-0.591956158884891,0.146989113777159,0.305,0.362,10.214,50,50,80,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010628,0.020862,0.913342,-0.40652,18.578125,18.546875,18.578125,18.609375,1.0067,1.0067,3222.67,298285,1,0,0,0,0,0,0,0,18.740585,18.578125,0.16246,106.46345088772216,29.58267031358045
2917,283734680,2272,1690354116.68,5,27,1,0.0,29.58005750868056,106.46739366319444,232.818,-12.502,-13.961,0.079,2.686,-0.147,222.011,0.664950752801437,-0.566958010283333,0.169987410490592,0.402,0.459,10.058,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010697,0.020895,0.913346,-0.406507,18.5625,18.5625,18.5625,18.65625,1.0067,1.0067,3222.68,298286,1,0,0,0,0,0,0,0,18.740585,18.585938,0.154647,106.46345061578565,29.582670041703178
2918,283734690,2272,1690354116.69,5,27,1,0.0,29.58005750868056,106.46739420572916,232.818,-12.502,-13.961,0.079,2.684,-0.157,222.011,-0.14198948405685,-1.10191839035667,0.074994445804672,0.233,0.314,10.724,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.010775,0.020846,0.913348,-0.406504,18.5625,18.5625,18.5625,18.65625,1.0067,1.0067,3222.69,298287,1,0,0,0,0,0,0,0,18.740585,18.585938,0.154647,106.4634511596918,29.58267004310209
