,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,sec_of_week_last_three,new_longitude,new_latitude
1598,284392870,2272,1690354775.7399998,1,7,0,0.0,29.496819932725696,106.44575005425347,317.261,-4.594,10.087,0.823,-0.073,-0.92,358.388,0.987926832733564,0.232982744966517,7.801422215574163,0.555,1.341,9.403,56,115,80,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006195,0.005136,0.716961,0.697066,10.59375,10.828125,10.59375,10.859375,1.0052,1.0052,3880.87,364105,1,0,0,0,0,0,0,0,11.08388,10.71875,0.36513,0.87,106.4417652538746,29.4994154743661
1599,284392880,2272,1690354775.7600002,1,7,0,0.0,29.496819932725696,106.44575032552083,317.263,-4.594,10.087,0.823,-0.063,-0.92,358.467,1.162913872944468,0.003999703776248,7.8694171797704,0.492,1.482,9.519,56,116,80,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006128,0.005204,0.716481,0.697559,10.609375,10.828125,10.609375,10.859375,1.0052,1.0052,3880.88,364106,1,0,0,0,0,0,0,0,11.08388,10.726562,0.357318,0.88,106.44176552561655,29.49941547487612
1600,284392890,2272,1690354775.7800002,1,7,0,0.0,29.496819932725696,106.44575032552083,317.265,-4.594,10.087,0.823,-0.056,-0.92,358.545,0.865935867557961,-0.013998963216874,7.827420290119783,0.401,1.562,9.717,56,116,80,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.00608,0.005255,0.716005,0.698048,10.609375,10.828125,10.609375,10.859375,1.0052,1.0052,3880.89,364107,1,0,0,0,0,0,0,0,11.08388,10.726562,0.357318,0.89,106.44176552561655,29.49941547487612
1601,284392900,2272,1690354775.8000002,1,7,0,0.0,29.496819932725696,106.44574978298613,317.267,-4.594,10.087,0.823,-0.052,-0.903,358.622,0.468965267765223,1.641878400150316,7.719428288161053,0.411,1.537,9.204,56,117,81,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005952,0.005181,0.715535,0.698531,10.609375,10.828125,10.609375,10.859375,1.0052,1.0052,3880.9,364108,1,0,0,0,0,0,0,0,11.08388,10.726562,0.357318,0.9,106.44176498213271,29.499415473856082
1602,284392910,2272,1690354775.8200002,1,7,0,0.0,29.49681966145833,106.4457546657986,317.268,-4.594,10.087,0.823,-0.046,-0.896,358.699,0.749944458046733,0.699948160843618,7.705429324944181,0.363,1.345,8.883,56,117,80,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005867,0.005181,0.715065,0.699013,10.609375,10.828125,10.609375,10.859375,1.0052,1.0052,3880.91,364109,1,0,0,0,0,0,0,0,11.08388,10.726562,0.357318,0.91,106.44176987350443,29.49941521188688
1603,284392920,2272,1690354775.8400002,1,7,0,0.0,29.49681966145833,106.44575493706596,317.27,-4.594,10.087,0.823,-0.041,-0.903,358.776,0.614954455598321,-0.655951419304879,7.740426732986363,0.463,1.415,9.451,56,117,80,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005874,0.005256,0.714592,0.699496,10.609375,10.828125,10.609375,10.859375,1.0052,1.0052,3880.92,364110,1,0,0,0,0,0,0,0,11.08388,10.726562,0.357318,0.92,106.44177014524641,29.499415212396947
1604,284392930,2272,1690354775.8600001,1,7,0,0.0,29.49681966145833,106.44575493706596,317.272,-4.594,10.087,0.823,-0.033,-0.914,358.855,0.874935201054522,-1.078920093643237,7.831419993896032,0.464,1.369,10.143,56,118,81,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005891,0.005372,0.714113,0.699984,10.609375,10.828125,10.609375,10.859375,1.0052,1.0052,3880.93,364111,1,0,0,0,0,0,0,0,11.08388,10.726562,0.357318,0.93,106.44177014524641,29.499415212396947
1605,284392940,2272,1690354775.88,1,7,0,0.0,29.49681966145833,106.44575493706596,317.273,-4.594,10.087,0.823,-0.021,-0.909,358.932,1.309902986721629,0.499962972031155,7.749426066482923,0.421,1.487,9.504,57,118,81,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005784,0.00542,0.71364,0.700467,10.625,10.84375,10.625,10.890625,1.0052,1.0052,3880.94,364112,1,0,0,0,0,0,0,0,11.08388,10.746094,0.337787,0.94,106.44177014524641,29.499415212396947
1606,284392950,2272,1690354775.9,1,7,0,0.0,29.49681966145833,106.44575520833332,317.275,-4.594,10.087,0.823,-0.012,-0.908,359.008,1.043922685601053,0.065995112308111,7.585438211656704,0.329,1.558,9.712,57,119,81,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.00572,0.005477,0.713175,0.70094,10.625,10.84375,10.625,10.890625,1.0052,1.0052,3880.95,364113,1,0,0,0,0,0,0,0,11.08388,10.746094,0.337787,0.95,106.44177041698839,29.499415212907017
1607,284392960,2272,1690354775.92,1,7,0,0.0,29.49681966145833,106.44576009114581,317.277,-4.594,10.087,0.823,-0.008,-0.906,359.084,0.532960528185211,0.200985114756524,7.587438063544829,0.366,1.628,9.651,56,119,81,627,773,764,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005679,0.005494,0.712711,0.701412,10.625,10.828125,10.625,10.875,1.0052,1.0052,3880.96,364114,1,0,0,0,0,0,0,0,11.08388,10.738281,0.345599,0.96,106.44177530834465,29.499415222088746
1608,284392970,2272,1690354775.94,1,7,0,0.0,29.49681966145833,106.4457603624132,317.278,-4.641,9.838,0.767,-0.004,-0.902,359.16,0.482964230982096,0.387971266296176,7.578438730048267,0.47,1.58,9.462,57,120,81,943,1120,1248,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005629,0.005497,0.712247,0.701884,10.625,10.828125,10.625,10.875,1.0052,1.0052,3880.97,364115,1,0,0,0,0,0,0,0,10.877735,10.738281,0.139454,0.97,106.44177558008671,29.49941522259887
1609,284392980,2272,1690354775.96,1,7,0,0.0,29.49681966145833,106.4457603624132,317.28,-4.641,9.838,0.767,-0.003,-0.906,359.236,0.264980375176511,-0.430968081890858,7.574439026272017,0.478,1.498,9.7,57,120,81,943,1120,1248,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005643,0.005536,0.711783,0.702354,10.640625,10.859375,10.640625,10.890625,1.0052,1.0052,3880.98,364116,1,0,0,0,0,0,0,0,10.877735,10.757812,0.119923,0.98,106.44177558008671,29.49941522259887
1610,284392990,2272,1690354775.98,1,7,0,0.0,29.49681966145833,106.4457595486111,317.281,-4.641,9.838,0.767,-0.002,-0.908,359.311,0.186986151539651,-0.202984966644651,7.578438730048267,0.397,1.437,9.843,57,120,82,943,1120,1248,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.005648,0.005557,0.711318,0.702825,10.640625,10.859375,10.640625,10.890625,1.0052,1.0052,3880.99,364117,1,0,0,0,0,0,0,0,10.877735,10.757812,0.119923,0.99,106.44177476486057,29.49941522106851
